date,Close
8/1/2018,71
8/2/2018,65
9/3/2018,56
10/1/2018,75
11/1/2018,78
11/2/2018,56
11/3/2018,63
11/4/2018,71
11/5/2018,63
11/6/2018,69
12/7/2018,77
12/8/2018,59
12/9/2018,83
1/1/2019,82
1/2/2019,76
1/3/2019,85
2/1/2019,83
2/2/2019,82
2/3/2019,67
2/4/2019,85
2/5/2019,85
2/6/2019,86
3/1/2019,82
3/2/2019,78
3/3/2019,80
3/4/2019,78
3/5/2019,79
3/6/2019,64
4/1/2019,83
4/2/2019,70
5/1/2019,67
5/2/2019,70
5/3/2019,70
5/4/2019,61
5/5/2019,70
5/6/2019,72
5/7/2019,70
5/8/2019,75
5/9/2019,67
6/1/2019,80
6/2/2019,66
6/3/2019,73
6/4/2019,66
7/1/2019,78
7/2/2019,70
7/3/2019,66
7/4/2019,70
8/1/2019,77
8/2/2019,71
8/3/2019,69
8/4/2019,67
8/5/2019,67
8/6/2019,73
9/1/2019,75
9/2/2019,71
9/3/2019,61
9/4/2019,68
10/1/2019,78
10/2/2019,67
11/1/2019,63
11/2/2019,75
11/3/2019,59
11/4/2019,68
11/5/2019,68
11/6/2019,68
11/7/2019,57
11/8/2019,72
11/9/2019,67
12/10/2019,77
12/11/2019,61
12/12/2019,72
1/1/2020,68
1/2/2020,71
2/1/2020,57
2/2/2020,63
2/3/2020,67
2/4/2020,63
2/5/2020,62
2/6/2020,62
2/7/2020,59
2/8/2020,59
3/1/2020,60
3/2/2020,54
3/3/2020,47
4/1/2020,59
4/2/2020,68
5/1/2020,61
5/2/2020,58
5/3/2020,60
6/1/2020,62
6/2/2020,59
6/3/2020,56
6/4/2020,67
6/5/2020,58
7/1/2020,63
7/2/2020,58
8/1/2020,60
8/2/2020,53
8/3/2020,56
8/4/2020,58
8/5/2020,59
8/6/2020,61
8/7/2020,65
8/8/2020,59
9/9/2020,66
9/10/2020,62
9/11/2020,45
10/1/2020,67
10/2/2020,59
11/1/2020,67
11/2/2020,64
11/3/2020,61
11/4/2020,63
11/5/2020,61
11/6/2020,64
11/7/2020,57
12/8/2020,59
12/9/2020,60
12/10/2020,62
1/1/2021,61
2/2/2021,64
2/3/2021,66
2/4/2021,63
3/1/2021,50
3/2/2021,61
4/3/2021,57
4/4/2021,63
5/1/2021,64
5/2/2021,50
5/3/2021,66
5/4/2021,64
5/5/2021,66
5/6/2021,56
5/7/2021,59
6/1/2021,56
7/1/2021,73
7/2/2021,60
8/1/2021,62
8/2/2021,67
8/3/2021,60
8/4/2021,56
